id,genre_ids,title,language,overview,popularity,poster_path,vote_average,release_date
718930,"[28, 35, 53]",Bullet Train,en,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",3209.601,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,7.5,2022-07-03
642885,"[14, 35, 10751]",Hocus Pocus 2,en,"It's been 29 years since someone lit the Black Flame Candle and resurrected the 17th-century sisters, and they are looking for revenge. Now it's up to three high-school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",2840.455,/7ze7YNmUaX81ufctGqt0AgHxRtL.jpg,7.6,2022-09-27
616037,"[14, 28, 35]",Thor: Love and Thunder,en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",1752.995,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,6.7,2022-07-06
539681,"[16, 28, 10751, 35, 878]",DC League of Super-Pets,en,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",1448.857,/r7XifzvtezNt31ypvsmb6Oqxw49.jpg,7.5,2022-07-27
366672,"[10751, 35, 16, 28]",Paws of Fury: The Legend of Hank,en,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",1184.47,/wMDUDwAArpfGdtTTZ25SfwngGwt.jpg,6.7,2022-07-14
1015724,"[12, 9648, 35, 16, 10751]",Trick or Treat Scooby-Doo!,en,"Mystery Inc. has cracked the case to top all cases! They’ve tracked down Coco Diablo, the head of a notorious costume crime syndicate. With Coco and her kitty in prison, Mystery Inc. thinks that they can finally enjoy a break. Wrong! Suddenly, menacing doppelgänger ghosts of the Scooby crew and favorite classic foes show up in Coolsville to threaten Halloween. Now it’s up to the meddling kids to unmask the latest scoundrel and save Halloween!",1037.333,/wZccw4Hj9ZF1yimnfPsX9rl3HvB.jpg,7.4,2022-10-04
675353,"[28, 12, 10751, 35]",Sonic the Hedgehog 2,en,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",1051.933,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,7.7,2022-03-30
864959,"[12, 35, 27, 10751]",The Curse of Bridge Hollow,en,A Halloween-hating dad reluctantly teams up with his teenage daughter when an evil spirit wreaks havoc by making their town's decorations come to life.,1216.263,/t6P9l6tcVnWLS1ADUAfkUCGQhm0.jpg,7.1,2022-10-14
585511,"[16, 12, 35, 14]",Luck,en,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",980.204,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg,8.0,2022-08-05
597922,"[18, 35, 10752]",The Greatest Beer Run Ever,en,"Chickie wants to support his friends fighting in Vietnam, so he does something wild—personally bring them American beer. What starts as a well-meaning journey quickly changes Chickie’s life and perspective. Based on a true story.",924.599,/ggf37TpcKaxwguhvtNn6MQpyqBn.jpg,7.9,2022-09-30
354912,"[10751, 16, 14, 10402, 35, 12]",Coco,en,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",788.622,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,8.2,2017-10-27
508947,"[16, 10751, 35, 14]",Turning Red,en,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",753.811,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,7.5,2022-03-01
975120,"[35, 10751]",Father There Is Only One 3,es,"Christmas is coming. The children accidentally break a Nativity scene figurine from their father's collection and must by all means get an equal one, the problem is that it is a unique antique piece. Sara, the eldest daughter breaks up with her boyfriend, Ocho, who will try to recover her favors with the help of her father-in-law, Javier. Precisely Javier's father-in-law, Marisa's father, will be welcomed into the family home to spend the holidays after her recent separation, which will not leave Javier's mother, Milagros, indifferent. Rocío, the folklore of the family, who has been playing the Virgin for several Christmases, is relegated this year to playing the shepherdess, something that her father, Javier, is not willing to assume.",809.92,/k2v9xSPtiyxCNxaRGtj7COwdgG3.jpg,7.7,2022-07-15
1015602,"[16, 35]",Welcome to the Club,en,"Heart set on becoming a princess, Lisa Simpson is surprised to learn being bad might be more fun.",713.406,/kxB9E6fo0ycHzd13oOTHmGa5Njd.jpg,6.6,2022-09-08
773867,"[28, 80, 35, 12]",Seoul Vibe,ko,"Chasing speed, dreams and money, a team of drivers get involved in the slush fund investigation of a powerful figure during the 1988 Seoul Olympics.",732.738,/txaOvJ6HURmqFbpVtJezWNWqaR4.jpg,6.8,2022-08-26
568124,"[16, 35, 10751, 14]",Encanto,en,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",667.787,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,7.7,2021-10-13
831410,"[53, 27, 35, 10770]",Bring It On: Cheer or Die,en,"When a cheer squad practices their routines on Halloween weekend in an abandoned school, they are picked off one by one by an unknown killer.",661.654,/ciRq9QUBpFWNsFKs2opG5tP157.jpg,6.5,2022-09-27
826769,"[35, 10749]",Rosaline,en,"Left heartbroken after Romeo begins to pursue her cousin Juliet, Rosaline schemes to foil the famous romance and win back her guy in this comedic twist of Shakespeare's Romeo and Juliet.",649.191,/jQHrbzVy6ptopxqUohV6PcmmVcY.jpg,7.5,2022-10-11
752623,"[28, 12, 35]",The Lost City,en,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",651.341,/neMZH82Stu91d3iqvLdNQfqPPyl.jpg,6.8,2022-03-24
585083,"[16, 35, 10751, 14, 12]",Hotel Transylvania: Transformania,en,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",531.252,/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,7.1,2022-02-25
1022206,"[35, 10749]",Someone Borrowed,pt,"To fulfill his mother’s dying wish and avoid being removed from her will, an inflexible bachelor hires an actress to play his fiancée.",629.411,/6l6qR3JGf1WLJAwwYgIQPR5rLKz.jpg,6.5,2022-10-11
838197,"[35, 28]","Watch Out, We're Mad",it,"Carezza and Sorriso, brothers very different from each other and in quarrel since childhood, will have to put aside their controversies to recover the legendary Dune Buggy, once belonged to their beloved father and now stolen from him by Torsillo, an unscrupulous building speculator, and his son Raniero. In doing so, they will forge an unusual alliance with a circus community, headed by the beautiful and dangerous Miriam and threatened by Torsillo's dirty business. Between daring chases, memorable fights and delicate meals based on beer and sausages, will the two brothers be able to find their beloved car?",632.919,/gfQiGDB6EFKXQJo6eY0qmZIcf41.jpg,5.3,2022-03-23
1010818,"[16, 10751, 35, 878]",Groot's First Steps,en,"Following the events of “Guardians of the Galaxy Vol. 1,” Baby Groot is finally ready to try taking his first steps out of his pot—only to learn you have to walk before you can run.",544.281,/1ifiV9ZJD4tC3tRYcnLIzH0meaB.jpg,7.4,2022-08-10
1006851,"[878, 35, 28]",Office Invasion,en,Three friends come together to defend their valuable mining company from…aliens?! What could possibly go wrong?,597.146,/khcVwO0gwguC1CndbxtH1bzk4aj.jpg,5.8,2022-08-10
755566,"[28, 14, 27, 35]",Day Shift,en,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,527.183,/bI7lGR5HuYlENlp11brKUAaPHuO.jpg,6.9,2022-08-10
804413,"[35, 14]",The Munsters,en,"Lily is a typical 150-year-old lovelorn vampire who's looking for the man of her nightmares -- until she lays her eyes on Herman, a 7-foot-tall green experiment with a heart of gold. It's love at first shock as these two ghouls fall fangs over feet for each other in a Transylvanian romance. Unfortunately, it's not all smooth sailing in the cemetery as Lily's father has other plans for his beloved daughter's future, and they don't involve her new bumbling beau.",508.262,/kJaEVFhDouD72GKANMkYqzQky9n.jpg,6.2,2022-09-27
10439,"[14, 35, 10751]",Hocus Pocus,en,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",466.569,/by4D4Q9NlUjFSEUA1yrxq6ksXmk.jpg,7.1,1993-07-16
816952,"[27, 35]",My Best Friend's Exorcism,en,"The year is 1988. Abby and Gretchen have been best friends since fourth grade. After an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act…different, which leads Abby to suspect her best friend may be possessed by a demon. With help from some unlikely allies, Abby embarks on a quest to save Gretchen. But is their friendship powerful enough to beat the devil?",533.928,/yIXICkqthsqbNtvtEd6rpIt3cT4.jpg,6.1,2022-09-29
459151,"[16, 35, 12, 10751]",The Boss Baby: Family Business,en,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,434.034,/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg,7.5,2021-07-01
626735,"[18, 35]",Dog,en,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,530.279,/zHQy4h36WwuCetKS7C3wcT1hkgA.jpg,7.4,2022-02-17
1010821,"[16, 10751, 35, 878]",Groot Takes a Bath,en,"Everybody needs some alone time to relax and wash up, but things go quite differently when you’re a Flora Colossi toddler.",454.609,/sN7FJP06TsNNtK9Jr77dc25yI82.jpg,7.1,2022-08-10
438695,"[16, 12, 35]",Sing 2,en,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",432.659,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,8.0,2021-12-01
667276,"[16, 35, 14, 12, 10751]",Legend Quest: The Origin,es,"When a human baby crosses the Eternal Mirror, the portal between the living and the death opens its path to the beings from the underworld.",423.878,/fR49hZdFJ6ZtRS23JW79VYmZgI7.jpg,8.2,2021-02-15
